,Id,LotFrontage,LotArea,LotShape,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice,Age_Category,MSZoning_FV,MSZoning_RL,MSZoning_RM,BldgType_1Fam,HouseStyle_2Story,Exterior1st_BrkFace,Exterior1st_Wd Sdng,Exterior2nd_Wd Sdng,MasVnrType_None,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,GarageType_Modified_Attchd,GarageType_Modified_Detchd,bathrooms_final,Garage_final,total_house_area,qual*total_house_area,semi_built_area,BsmtUnitsGrade,BsmtGrade,elec_inf,rooms_to_size,land_score
0,1,65.0,8450.0,4.0,197965.77,7,5.0,2003.0,2003,196.0,4.0,0.0,5,706.0,150.0,856.0,5,1,856.0,854,1710.0,2,1,4.0,4,8,0.0,0,2003.0,2,2.0,548.0,1,0,61,2,2008,208500,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.25,2192.0,2566.0,17962.0,61.0,3530,13696,10,427.5,10.65135963278532
1,2,80.0,9600.0,4.0,238772.73,6,7.5,1976.0,1976,0.0,4.0,2.5,4,978.0,284.0,1262.0,5,1,1262.0,0,1262.0,2,0,4.0,3,6,1.0,3,1976.0,2,2.0,460.0,1,298,0,5,2007,181500,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.5,1840.0,2524.0,15144.0,298.0,3912,20192,10,315.5,10.778956289890028
2,3,68.0,11250.0,3.0,197965.77,7,5.0,2001.0,2002,162.0,4.0,1.0,5,486.0,434.0,920.0,5,1,920.0,866,1786.0,2,1,4.0,4,6,1.0,3,2001.0,2,2.0,608.0,1,0,42,9,2008,223500,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.25,2432.0,2706.0,18942.0,42.0,2430,14720,10,446.5,11.119882876860622
3,4,60.0,9550.0,3.0,210624.73,7,5.0,1915.0,1970,0.0,3.0,0.0,4,216.0,540.0,756.0,4,1,961.0,756,1717.0,1,0,4.0,4,7,1.0,4,1998.0,1,3.0,642.0,1,0,35,2,2006,140000,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1926.0,2473.0,17311.0,35.0,864,6804,9,429.25,10.95605590270283
4,5,84.0,14260.0,3.0,289724.71499999997,8,5.0,2000.0,2000,350.0,4.0,2.0,5,655.0,490.0,1145.0,5,1,1145.0,1053,2198.0,2,1,5.0,4,9,1.0,3,2000.0,2,3.0,836.0,1,192,84,12,2008,250000,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.25,5016.0,3343.0,26744.0,276.0,3275,18320,10,439.6,11.356973163196342
5,6,85.0,14115.0,3.0,156270.12,5,5.0,1993.0,1995,0.0,4.0,0.0,5,732.0,64.0,796.0,5,1,796.0,566,1362.0,1,1,2.0,3,5,0.0,0,1993.0,1,2.0,480.0,1,40,30,10,2009,143000,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.5,960.0,2158.0,10790.0,390.0,3660,12736,10,653.5833333333333,11.346752809915644
6,7,75.0,10084.0,4.0,225379.84,8,5.0,2004.0,2005,186.0,5.0,2.0,5,1369.0,317.0,1686.0,5,1,1694.0,0,1694.0,2,0,4.0,4,7,1.0,4,2004.0,2,2.0,636.0,1,255,57,8,2007,307000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2544.0,3380.0,27040.0,312.0,6845,36026,10,423.5,10.828143200741911
7,8,80.0,10382.0,3.0,189050.07,7,6.0,1973.0,1973,240.0,4.0,1.0,4,859.0,216.0,1107.0,5,1,1107.0,983,2090.0,2,1,4.0,3,7,2.0,3,1973.0,2,2.0,484.0,1,235,165,11,2009,200000,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.25,1936.0,3197.0,22379.0,439.0,3532,17712,10,522.5,11.03958828561523
8,9,51.0,6120.0,4.0,128225.3,7,5.0,1931.0,1950,0.0,3.0,0.0,0,0.0,952.0,952.0,4,1,1022.0,752,1774.0,2,0,3.0,3,8,2.0,3,1931.0,1,2.0,468.0,1,90,0,4,2008,129900,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,936.0,2726.0,19082.0,90.0,0,8568,7,591.3333333333334,10.328755287940472
9,10,50.0,7420.0,4.0,124834.05,5,6.0,1939.0,1950,0.0,3.0,0.0,5,851.0,140.0,991.0,5,1,1077.0,0,1077.0,1,0,3.0,3,5,2.0,3,1939.0,2,1.0,205.0,1,0,4,1,2008,118000,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,410.0,2068.0,10340.0,4.0,4255,8919,10,359.0,10.521372248595526
10,11,70.0,11200.0,4.0,136793.14,5,5.0,1965.0,1965,0.0,3.0,0.0,2,906.0,134.0,1040.0,5,1,1040.0,0,1040.0,1,0,4.0,3,5,0.0,0,1965.0,1,1.0,384.0,1,0,0,2,2008,129500,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,384.0,2080.0,10400.0,0.0,1812,9360,10,260.0,10.933106969717286
11,12,85.0,11924.0,3.0,289724.71499999997,9,5.0,2005.0,2006,286.0,5.0,0.0,5,998.0,177.0,1175.0,5,1,1182.0,1142,2324.0,3,0,5.0,5,10,2.0,4,2005.0,3,3.0,736.0,1,147,21,7,2006,345000,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.25,5739.5,3499.0,31491.0,168.0,4990,29375,10,464.8,11.178067924026017
12,13,71.0,12968.0,2.0,136793.14,5,6.0,1962.0,1962,0.0,3.0,0.0,4,737.0,175.0,912.0,3,1,912.0,0,912.0,1,0,3.0,3,4,0.0,0,1962.0,1,1.0,352.0,1,140,0,9,2008,144000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,352.0,1824.0,9120.0,316.0,2948,8208,8,304.0,11.416150212470825
13,14,91.0,10652.0,3.0,197965.77,7,5.0,2006.0,2007,306.0,4.0,2.0,0,0.0,1494.0,1494.0,5,1,1494.0,0,1494.0,2,0,4.0,4,7,1.0,4,2006.0,2,3.0,840.0,1,160,33,8,2007,279500,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5040.0,2988.0,20916.0,193.0,0,23904,10,373.5,11.065262416161877
14,15,73.0,10920.0,3.0,145847.08,6,5.0,1960.0,1960,212.0,3.0,0.0,3,733.0,520.0,1253.0,3,1,1253.0,0,1253.0,1,1,3.0,3,5,1.0,2,1960.0,2,1.0,352.0,1,0,165,5,2008,157000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.5,704.0,2506.0,15036.0,213.0,2199,11277,8,417.6666666666667,11.090110718526951
15,16,51.0,6120.0,4.0,124834.05,7,7.5,1929.0,2001,0.0,3.0,0.0,0,0.0,832.0,832.0,5,1,854.0,0,854.0,1,0,3.0,3,5,0.0,0,1991.0,1,2.0,576.0,1,48,112,7,2007,132000,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.25,1152.0,1686.0,11802.0,160.0,0,7488,9,284.6666666666667,10.328755287940472
16,17,73.0,11241.0,3.0,145847.08,6,7.0,1970.0,1970,180.0,3.0,0.0,4,578.0,426.0,1004.0,5,1,1004.0,0,1004.0,1,0,3.0,3,5,1.0,3,1970.0,3,2.0,480.0,1,0,0,3,2010,149000,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2880.0,2008.0,12048.0,0.0,2312,9036,10,334.6666666666667,11.119082556689852
17,18,72.0,10791.0,4.0,136793.14,4,5.0,1967.0,1967,0.0,1.5,0.0,0,0.0,0.0,73.375,3,1,1296.0,0,1296.0,2,0,3.0,3,6,0.0,0,1967.0,1,2.0,516.0,1,0,0,10,2006,90000,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1032.0,1296.0,5184.0,0.0,0,0,8,432.0,10.895905644797834
18,19,66.0,13695.0,4.0,186555.8,5,5.0,2004.0,2004,0.0,3.0,0.0,5,646.0,468.0,1114.0,5,1,1114.0,0,1114.0,1,1,4.0,4,6,0.0,0,2004.0,1,2.0,576.0,1,0,102,6,2008,159000,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.5,1152.0,2228.0,11140.0,102.0,3230,10026,10,278.5,11.134223994131279
