,Correlation,Mutual Information
OverallQual,0.7909816005838045,0.5570454123011435
Neighborhood,0.7386304832658632,0.5074018461512804
GrLivArea,0.7086244776126523,0.48348668378666293
GarageCars,0.6404091972583527,0.373427251614904
TotalBsmtSF,0.6135805515591957,0.36954940101411005
YearBuilt,0.5228973328794969,0.3646826972106161
GarageArea,0.6234314389183621,0.3639678597771949
BsmtQual,0.5852071991725195,0.3376295501195643
KitchenQual,0.6595997207286637,0.32406062918381484
ExterQual,0.682639241656259,0.31329887692458325
1stFlrSF,0.6058521846919145,0.3081912105246478
GarageFinish,0.5492467563332114,0.2611091899502114
GarageYrBlt,0.47540732996381346,0.2589277363279856
FullBath,0.5606637627484444,0.2556142476739678
YearRemodAdd,0.5071009671113864,0.2476142319114567
LotFrontage,0.34987561032244197,0.22080514444259824
TotRmsAbvGrd,0.5337231555820284,0.21551634523226504
2ndFlrSF,0.319333802832068,0.21130851237841597
FireplaceQu,0.5204376059504013,0.20853562926580338
HeatingQC,0.4276487073988039,0.16793435969973913
Fireplaces,0.4669288367515271,0.16750919357421434
Foundation_PConc,0.49773375258693686,0.1673697473731326
BsmtFinType1,0.30490787307063305,0.15969504864872341
LotArea,0.2638433538714057,0.15961150588476913
OpenPorchSF,0.3158562271160555,0.1527851948116643
BsmtFinSF1,0.38641980624215316,0.1503693068838996
OverallCond,-0.0778558940486781,0.12206590629174174
BsmtUnfSF,0.21447910554696883,0.1177688863746047
GarageType_Modified_Attchd,0.3359606472095443,0.11751962560239138
GarageType_Modified_Detchd,-0.354140788412703,0.11749507631295741
WoodDeckSF,0.32441344456812976,0.10540570118270942
Exterior2nd_VinylSd,0.3063888808714818,0.10061073092637862
Foundation_CBlock,-0.34326299944464933,0.09894912758651175
LotShape,-0.26775931391782404,0.09773329085199634
MasVnrArea,0.47261449900457414,0.0971047306076831
Exterior1st_VinylSd,0.3050088024776271,0.08613754153977271
Age_Category,0.34559375320493324,0.08406134670111332
MSZoning_RM,-0.28806512189712513,0.08364099551416215
MasVnrType_None,-0.3674563651932491,0.08272642124600438
GarageCond,0.2631907844703991,0.08145609023308431
Electrical,0.22356286748454998,0.08044938024638038
BsmtExposure,0.37469622100088734,0.07907336417892497
GarageQual,0.2738390740062238,0.0739048409824945
HalfBath,0.2841076755947833,0.06816373514356511
BsmtCond,0.21260715648557935,0.06331550006764175
CentralAir,0.25132816384015483,0.062378839179416
BedroomAbvGr,0.16821315430073985,0.05782285292734235
MasVnrType_Stone,0.3304756465434121,0.04664090144382338
MasVnrType_BrkFace,0.1981912062006384,0.044553657321103834
Story_Count,0.0675893320036127,0.043243312652909704
Fence,-0.1502562085032589,0.042281616070960704
MSZoning_RL,0.2450634038970929,0.04198899958035973
HouseStyle_2Story,0.24288002726854271,0.04132345804400939
MSZoning_FV,0.08994971967036089,0.03943531756877494
BsmtFinType2,-0.0053231606734749325,0.03795755892818686
GarageType_Modified_BuiltIn,0.23544865016730798,0.03649442707797257
BldgType_Duplex,-0.11465483002228424,0.03361858368473536
LandContour_Bnk,-0.10112449060458614,0.03212729173106643
RoofStyle_Gable,-0.2247441162130908,0.03208292084989339
Foundation_BrkTil,-0.20411736578270157,0.03107131623145465
PavedDrive,0.21262978253141096,0.030609424297959542
Exterior1st_Wd Sdng,-0.15861908165107277,0.030400981859796117
Exterior2nd_Wd Sdng,-0.1618004951731799,0.029196794605011123
Exterior2nd_MetalSd,-0.16238867058442735,0.028163278558757776
ScreenPorch,0.1114465711429111,0.027771342720588788
ExterCond,0.018899118482413036,0.026804805130408837
Exterior2nd_CmentBd,0.12818316002692462,0.02490179045211338
LotConfig_CulDSac,0.14181753652525794,0.024850318771351354
LandContour_Lvl,-0.027544579330838544,0.024819150290017467
BsmtFullBath,0.22712223313149366,0.024105059230237202
BldgType_1Fam,0.1374832486951525,0.024062327996167587
Exterior1st_HdBoard,-0.09514764583955215,0.02308775700069221
BldgType_Twnhs,-0.09873019861048883,0.02021997392435959
Exterior1st_Stucco,-0.029802258156837878,0.019238665866082583
HouseStyle_SLvl,-0.0386454334936102,0.018968465991041183
RoofStyle_Hip,0.23589691866460238,0.01739950952660463
Exterior1st_CemntBd,0.13349176235033525,0.017369729231252462
EnclosedPorch,-0.1285779579259565,0.01611722728022591
Exterior1st_MetalSd,-0.1670680426541347,0.015113318615219473
BldgType_TwnhsE,0.0038043834533088836,0.01435908295803734
HouseStyle_1.5Fin,-0.16346607100995503,0.012723041522549883
MasVnrType_BrkCmn,-0.04439386368054752,0.012612036437850804
Exterior2nd_HdBoard,-0.06786360534380856,0.012550644884147921
KitchenAbvGr,-0.13590737084214125,0.011493328107316403
PUD_Flag,-0.026577337775093364,0.00923860580740632
YrSold,-0.028922585168730378,0.008938772562799624
BsmtHalfBath,-0.016844154297359002,0.008797857552276911
Exterior2nd_Other,0.009727393414112615,0.008467028228101636
Exterior1st_AsbShng,-0.1091258216420086,0.006431072790467063
BsmtFinSF2,-0.011378121450215111,0.006100875697997665
Exterior2nd_Plywood,-0.05294086897596907,0.005097141764867974
MSZoning_RH,-0.06542929310102463,0.004539055651811008
LandContour_HLS,0.1200138018677079,0.004010355562444445
Foundation_Slab,-0.1197401602364792,0.003978639050280952
GarageType_Modified_Other,-0.06447519873303369,0.003954011781598377
Functional,0.1133018742429299,0.0029380874333302387
Exterior1st_Other,-0.017536008345003087,0.001976778095464482
MiscVal,-0.021189579640303238,0.001944567209151149
LowQualFinSF,-0.025606130000679562,0.0019378982202200579
Exterior2nd_BrkFace,0.02475899569103646,0.0018221853728854764
HouseStyle_1.5Unf,-0.08768640584636482,0.0014812323456954157
HouseStyle_2.5Unf,-0.025855674595624465,0.0014676475854504822
HouseStyle_1Story,-0.06181110053588809,0.0011000085922605596
MSZoning_C (all),-0.111256582908086,0.0005191371890840291
HouseStyle_2.5Fin,0.03652572237598772,0.00049340978735124
LandSlope,-0.05115224817946654,0.00027140688866511553
LotConfig_Inside,-0.08053786914590563,0.00010182056692320529
