,Id,LotFrontage,LotArea,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,Story_Count,Age_Category,PUD_Flag,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Other,Exterior1st_AsbShng,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_Other,Foundation_PConc,Foundation_Slab,GarageType_Modified_2Types,GarageType_Modified_Attchd,GarageType_Modified_BuiltIn,GarageType_Modified_Detchd,GarageType_Modified_Other
Id,5.850850262884082,0.0,0.02890529560658006,0.00448707921272451,0.013687934984056405,0.0,0.0,0.0,0.0,0.0,0.0,0.002526413527830229,0.016057109688023097,0.005543051515681796,0.004378636634432276,0.00957979638231965,0.02848913898010874,0.001164315273981309,0.0,0.0,0.0036998083538630766,0.0,0.0,0.010917275181578034,0.0,0.0,0.000793611789610793,0.0,0.0,0.0001466617083680788,0.0,0.0,0.017992319475959917,0.0006745067118254511,0.007127773233112755,0.0013825173306711847,0.0,0.0007496070750452333,0.0,0.0,0.006092005246697063,0.006420083205346927,0.003192636652356029,0.0,0.0,0.0025050110403412873,0.013527961547899814,0.0,0.0,0.0,0.005584448868603431,0.0,0.0,0.004433190891774075,0.005559499871095497,0.0,0.01918285044677326,0.0,0.004520194310661196,0.0,0.007868758471847315,0.0,0.0,0.0,0.0,0.0,0.0,0.001057564610366768,0.0009067416929937622,0.0,0.0,0.0014938183456791876,0.0,0.0,0.0,0.0,0.0,0.0,0.0033061357932631097,0.0,0.0015391575807024438,0.0,0.0,0.0,0.0,0.0,0.0005292035071491341,0.0,0.0,0.0,0.0,0.011169883173739237,0.00646740484131314,0.0010745088738088882,0.0,0.0,0.0,0.010097471366414368,0.0025830147709040574,0.001322105381175831,0.0018408952823989466,0.0014911199930232044,0.0,0.0012373294375835897,0.0,0.0,0.0,0.0,0.01001621873555436,0.004448528130290619,0.00018521144081606877,0.008221692267807335,0.0016354662693292,0.0,0.0,0.0003390298817507187,0.0,0.0,0.0,0.0,0.009758253042731369,0.0003777079747324663,0.0,0.0,0.0,0.0,0.0,0.0007394803476952205,0.0,0.0
LotFrontage,0.0,3.9147452539989334,0.793684653421352,0.015414566073582492,0.7944517014113819,0.19020157750965438,0.06067913051424334,0.49809353907056586,0.27846619714321585,0.129135114288502,0.11853737011452381,0.060926228296363405,0.14289261778788553,0.007265916057082933,0.06059733791872368,0.10295737932202176,0.11759892251833381,0.03188783565214148,0.024973288295875307,0.09460990846026984,0.2586904669304513,0.08876453848541743,0.029918693980198086,0.05272940479568877,0.2274295353241338,0.139463899481302,0.0021607515494519447,0.15762110382808459,0.040872357397873316,0.0160710726811244,0.1162704753987498,0.060770982174351396,0.08461749212389424,0.02075583222539379,0.0558627978882873,0.08952844615683375,0.017718785229031475,0.06576432423551193,0.07742922335724245,0.32139725594970336,0.12533388210206464,0.1757761740654793,0.2929610375868821,0.021900192384111783,0.015864722086449845,0.0,0.07833451668301272,0.10286726837644977,0.04958813418742469,8.367448112345244e-05,0.012166011215075656,0.02810709866189587,0.0,0.045926762330062765,0.0,0.008257207829731605,0.030847781408887442,0.12006678929174175,0.10816738453323449,0.20425231015473333,0.065078967664852,0.04736069051550107,0.0,0.033697121831981924,0.04059805696759966,0.004510538005589204,0.06319296061503454,0.025189637584444036,0.14955109539574174,0.11508048565175688,0.07126027863231865,0.00012524238882516414,0.00014432573452083375,0.09219278220748706,0.00691305806679221,0.0,0.0,0.0,0.17323297206550325,0.026563031341765964,0.005772589049479748,0.06669763715742771,0.11035934722583374,0.05873317890754404,0.016278214633695498,0.04679637087739952,0.0,0.01960506734757672,0.025628742973027308,0.004719751403237105,0.018095960240360753,0.0,0.004220757887358317,0.02549917981226546,0.0,0.0,0.05884739609058265,0.026235277919045785,0.04382702356661561,0.0,0.014882789175059585,0.003167898079773579,0.05751581918376658,0.04332103036302826,0.009710952911700765,0.0,0.0,0.06080360518241523,0.03383173511250348,0.039469761916244295,0.01291752398898538,0.026039894693293597,0.007601212176148842,0.07506428905862883,0.012492524208565392,0.009892062113346256,0.016538335797726234,0.05561510718415086,0.06600017554652293,0.0301750241374954,0.06956560885666985,0.10099907153110532,0.01500470854561975,0.08824963332657898,0.004662763521575464,0.0,0.12706870695347394,0.01454472362810133,0.14885389950652517,0.0
LotArea,0.028289680802996653,0.7820772692631017,5.794907846535452,0.03078569029416034,0.528791695038306,0.1202664871946082,0.05731471712047398,0.3029359529618896,0.1736915004544497,0.11558185383631159,0.06657626071666911,0.011702310794366788,0.12275823119152296,0.013891036073467866,0.060400033502456374,0.06013920397494932,0.12614163937798129,0.01444554901418904,0.0,0.08932234476578538,0.21877272863130193,0.06300023302100044,0.029444587448193893,0.016571266601510537,0.2745838244138987,0.10311505081669115,0.0008039653612836872,0.24208031824666199,0.06313722610592976,0.0023624267218895767,0.07869803054160851,0.050806007949140586,0.12477257564487676,0.008307361347629438,0.07128233818892493,0.1337792977104746,0.010853973669586736,0.1061942136814844,0.12799752445989476,0.19524193347084884,0.1003761368739795,0.15199691095159906,0.19265394395294377,0.027259456434360452,0.0517353453896483,0.002461369209581399,0.07254521154292437,0.08089794574088316,0.011324885124919248,0.012293162231537202,0.0043934445393638555,0.015630064775473684,0.006511248625957755,0.013737306527698223,0.0053180603985367725,0.013289809004377595,0.021844937357558436,0.06148171811235148,0.10140899386679969,0.19649439730769558,0.011089848962154036,0.02701533019841662,0.02921232517187189,0.0,0.05532345985292597,0.0,0.05958809693948641,0.001454459722000756,0.16670746002696468,0.14779188125296994,0.08600630315957858,0.01793898216586509,0.003574246085875643,0.108791599740095,0.012585774251409276,0.0,0.011112037731170865,0.041459242189958445,0.16570395440355057,0.01581217469354268,0.010236843525346373,0.0927728026155723,0.12565158416022015,0.01055189921134847,0.008300606207447991,0.021732796415474098,0.006450548168802861,0.0,0.028917675175197388,0.00734476470189005,0.0016962621051774818,0.042084460653290634,0.028396586211835384,0.00675195291260966,0.011846986824044059,0.010856218880655355,0.02583288038126863,0.025716971740752825,0.02259638585672974,0.0,0.0301256484329393,0.0,0.06895431760273496,0.022175539763130914,0.0,0.0,0.0,0.0200118679984147,0.006378264623633889,0.024251153839516704,0.00921142280557774,0.0191180438409031,0.0040561018074853905,0.06515945788755051,0.014025917790490006,0.0,0.0,0.058834167241522906,0.05605610640456771,0.015445945179535236,0.054284581336388804,0.06543002465355219,0.0,0.09694874111781182,0.006899006360153059,0.004161594028714077,0.08747024003013593,0.004873202157810397,0.07345215517687809,0.0
LandSlope,0.0039920787695109095,0.044937301285927767,0.01437890122096075,0.215408785947794,0.030092978394729908,0.01684609474168086,0.0,0.03287334700251798,0.0,0.0,0.0,0.03850248556325653,0.0003789796754358754,0.0,0.03164995039060692,0.0024621948747833855,0.013007420454117291,0.010122656770007232,0.0,0.017700447363053984,0.019889735101703776,0.005505673599946803,0.0012571811536803423,0.030847363012596052,0.017792812923236978,0.0038345219372399875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013476063769202185,0.006131661263675703,0.0,0.008196487584210654,0.0055247532970295055,0.0,0.02755138786968936,0.0,0.0052623716981692326,0.014745922275950951,0.0,0.014735772268189784,0.0020698864943806683,0.0,0.028524629729797635,0.0,0.0,0.01575415808042102,0.0,0.0,0.0,0.0,0.0,0.0,0.013049121856252732,0.0,0.0,0.0,0.03376172776716313,0.0,0.0,0.0,0.020623706684626875,0.01751153983539311,0.0,0.02285388006886535,0.01840748372171941,0.0,0.008490122305052417,0.0,0.010665498826989861,0.015339286759858517,0.0,0.07054154035387583,0.09624854751651579,0.0,0.002699871330470671,0.0,0.001758052278625577,0.0,0.0,0.0690273551417091,0.0,0.0,0.0,0.0013276931584442764,0.0,0.0320745329084291,0.0,0.021606613948914166,0.0313228571176456,0.0,0.0,0.012017651575443544,0.0,0.0,0.019199983238292084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009299211718047928,0.0,0.0,0.0,0.0,0.00526110079583475,0.0,0.0,0.0,0.022142156250639644,0.007546588339905291,0.0025648598019261115,0.006468336067476876,0.0015612074857829228,0.011080140313746156,0.0,0.002426450886349407,0.0,0.01685126302820894,0.03878826656365586,0.0,0.008111191601817502
Neighborhood,0.009374301743068525,0.8289619213928674,0.531042638005172,0.04391689709983382,2.8995305447832433,0.46053810335507883,0.21115414230176377,1.0950114292228617,0.6205839426781892,0.20221894943231877,0.3531634125448351,0.02945207334474098,0.4476472216126375,0.01721663322644229,0.12398199231690388,0.2862107573202026,0.18284542368774703,0.03234933471135726,0.011051830050062605,0.17509722431699704,0.3864073106428658,0.18264582104323157,0.08701990668092296,0.09838984906683645,0.32292786431130427,0.2583017246097894,0.01117467169854347,0.30454990635419943,0.06432876099250606,0.06278477855578934,0.22386866695409502,0.09381150392615467,0.11377926207012301,0.006960979134764678,0.286624935361397,0.12825923629434755,0.04920131246676274,0.15396606105581867,0.2202834208359281,0.7713273721959868,0.31177396414042935,0.3110117927720042,0.4804539156991465,0.07116295946004847,0.06865405232696808,0.09824223563168033,0.13641081638008146,0.24925476003411173,0.051262136587378215,0.0,0.0012713822450418633,0.0064792782641234226,0.017285577383681527,0.03714906818839925,0.026727286121362326,0.014627405122801918,0.03709438667438736,0.16271072286782484,0.28396710943881764,0.12847621541200382,0.0,0.02310082287557158,0.0,0.0,0.02760740426285846,0.03244188447740637,0.14588487965364205,0.04327057893555697,0.3124389848620224,0.26396547775220913,0.06496533739410548,0.0033051202171039407,0.0,0.09456947218836298,0.021398924795963836,0.039415374884057996,0.0,0.09869544617354808,0.14753978745493068,0.0,0.029899489168596638,0.07400562888642703,0.09475886898108321,0.09284180576864554,0.03395974528916579,0.06601056159751195,0.023959022193594137,0.0,0.09963668876363574,0.06754693608816087,0.02283496337947888,0.05279881771985995,0.04217416397107243,0.02144226926677195,0.0,0.03979625185458424,0.09794206146669193,0.09053442164635062,0.04217633049368885,0.0,0.05718477634284902,0.01104694642651527,0.20040679083186586,0.10305711903573922,0.004341758404936336,0.009325496460287575,0.0,0.06344440459488787,0.06792961967493305,0.041503197464943575,0.0,0.07034625914520287,0.023245588019679353,0.22981207945184945,0.09582912005577704,0.03486476182514675,0.023399157319114572,0.10532550202425561,0.15711508268572505,0.05021258893581226,0.13469222469089281,0.2874921004087376,0.006087886733076253,0.322687994432159,0.020952241604134336,0.001825465312047747,0.1521821423346923,0.022551745594316053,0.17057838418612903,0.02015999876235952
OverallQual,0.0,0.1544892941154168,0.11115819099094759,0.02613353993840395,0.45717746018024696,1.7102503447836561,0.14938974947551031,0.39859477113955943,0.2829674500343642,0.16357717700157792,0.34590671188819844,0.00045696713965881486,0.35581254498413006,0.06817367009806752,0.0319006071758281,0.2026564232141954,0.08969923021368187,0.039008216470045376,0.0,0.12057795160314777,0.3189382764819064,0.13938294042526422,0.045046511159818614,0.053674488898829864,0.22445211171243162,0.1411140797574264,0.0,0.2746483215096269,0.0,0.0,0.19176038834058495,0.07733111021795125,0.013930180229042577,0.03130717196049204,0.33912336694846346,0.10862470388712264,0.0,0.09964982887874463,0.19085637272511669,0.27885220029746005,0.17478879039974604,0.26817708188120726,0.3538544664864136,0.025147858281711954,0.030801802141867007,0.026243316580890408,0.07695653424187121,0.13390984128462158,0.011053477232758624,0.032366988516082884,0.022785347632022557,0.0,0.021227558837042082,0.042560784236893134,0.02500660408387656,0.007456615660745847,0.009457901992548923,0.06468948727140855,0.05288797511263432,0.028284021432465778,0.0014271462508057553,0.02049433769660869,0.0,0.009679979434531027,0.009182672740836395,0.023510289601844647,0.026219420683496253,0.0,0.023295502731879303,0.0,0.012822315380422111,0.01044326925267125,0.010069872027566262,0.0,0.0,0.027322818298063822,0.008655834414972752,0.0,0.03123470876772938,0.0,0.0034425660927741575,0.02509462421750186,0.014293835310313696,0.01972416544907052,0.0,0.04612250093674497,0.002919568681994278,0.010222842594420634,0.07154986831375432,0.008597905118939764,0.015757327313954406,0.027456339426640497,0.033696980546986666,0.0,0.013989122502399809,0.0,0.0056169034311350785,0.0077237934964395905,0.021232093533452456,0.0013474527450183515,0.025519024650413336,0.016066292478164712,0.054863682148146964,0.0,0.006075097656057515,0.0,0.0,0.003134255755655957,0.004014528545874363,0.029097231375225796,0.00718480069258387,0.017247030268722874,0.0,0.08192228442635052,0.02826748364711129,0.0,0.0,0.031394000070355865,0.10248184852577324,0.056431186675928835,0.021929802423173328,0.16097870922165924,0.0,0.20067792940750184,0.0248689682274712,0.0,0.09321960087766179,0.0,0.07094884106039157,0.009570109123466786
OverallCond,0.0,0.05637834380311668,0.06628016434938067,0.0,0.19110158434965285,0.17688568095925472,1.359572505486399,0.29824031294183584,0.14288378397137258,0.024812867995152033,0.15108104512834952,0.04685476728448279,0.1757208993100816,0.04429573260194086,0.04691764422275746,0.11074737127561907,0.06258484081213034,0.0,0.011163143995974956,0.025134862220056675,0.05553739181599315,0.08676412772807485,0.01178454244316196,0.030280193148178647,0.016089458183839334,0.03124388938763767,0.0028921240641626156,0.05981844292334726,0.0010826316733583141,0.0,0.07752323486846979,0.006183922825482746,0.00538650713041644,0.0,0.07087185785892647,0.0030642134213740846,0.005337882631795132,0.034408569099192654,0.026216731720455577,0.17280792771869535,0.05103078307023434,0.06322018157820608,0.09473709844149392,0.026934283890835076,0.012989057179614072,0.013551711569933289,0.03347448945380194,0.04085089999501257,0.026193835161182122,0.0,0.0,0.0,0.028054596745803906,0.00859682475264023,0.0014039546544264425,0.0,0.0,0.05555080435641546,0.07821630658444167,0.03962174374362881,0.0,0.03245320459835277,0.0,0.014749670258162872,0.0,0.018412393986100284,0.037727192145853294,0.022964744860806796,0.0078279779004653,0.0,0.0,0.0169457228208989,0.02949629399174114,0.0,0.0,0.0,0.0,0.0,0.02819889154484656,0.0,0.0,0.03050936352010325,0.017029783789440422,0.028686010723720123,0.003230541817542232,0.0,0.0,0.006099483930167793,0.0266151094784286,0.0,0.007830302082838969,0.0,0.014389591572986582,0.0,0.0,0.0029385977622018444,0.0,0.03989547469364041,0.0,0.0,0.015982118892581276,0.029566330986653178,0.09764641355786008,0.0279129025939282,0.0,0.019799607133544228,0.010542293209356401,0.0,0.0,0.028033688254013533,0.004113699383988312,0.0,0.008374079297249537,0.06131407510634812,0.02474065628654909,0.0015949713763419027,0.00942341558788673,0.024053603568090054,0.03086575349430909,0.023931077869062456,0.041591039492972826,0.06234072494519438,0.0,0.13995899660121047,0.0,0.011673192771006313,0.02447569868130639,0.017783997455165235,0.06513914643798646,0.012429795220233686
YearBuilt,0.0,0.49174912674599325,0.298198406942511,0.004368684801085543,1.0797650488660073,0.39477436030286306,0.2786037192392792,4.339866350150221,2.3288566100393076,0.18647975387066662,0.36544818019332315,0.04327979990730846,0.5231823401264108,0.07327695444265725,0.08755492501052231,0.3738075640913232,0.2088189877082236,0.08948032102098669,0.06690378852028722,0.1978146524009552,0.2927395477331891,0.2889837013798724,0.08584887838676192,0.10141140458999764,0.27924371112669455,0.21474798596132505,0.018870134730173405,0.28530951707299934,0.03644055395601331,0.01424014878443991,0.22766144948188138,0.06864930466989438,0.0537352476776638,0.03795742514050371,0.32016284103349246,0.09006631925054176,0.01791442622600936,0.056573501325834386,0.18684143005839182,3.0132487885149297,0.30352282716835166,0.3043966577483044,0.410144838205007,0.10639308130644132,0.06294113132495216,0.07218832375147244,0.13017038565437566,0.16419756697123855,0.12826518946936005,0.0,0.004510507136163966,0.0,0.0,0.08057298572740823,0.018698951902568872,0.021398205819411764,0.052074347357942585,0.2063387337328786,0.37140771094209146,0.07897002162040767,0.013916246023627288,0.04301169813235184,0.0184573537597732,0.0,0.02415024755804307,0.007667413420651137,0.07329094369600675,0.0,0.1209201216453426,0.1324587578607197,0.025902061420489453,0.010006208348447565,0.001733235652272569,0.04585506212807289,0.024626136582273972,0.006714157838790591,0.003229547302885827,0.023719378326251928,0.05435731035768132,0.026925473438391023,0.027663855067500798,0.035222056401540414,0.05679408950050213,0.11383842088476914,0.011043684195020553,0.0982397698090729,0.013522669608725835,0.017075107225482,0.09153717615170898,0.020945646891546765,0.024160257748351732,0.013632449638929955,0.01971066527418408,0.009811809531203863,0.02369494076805445,0.025473193640758396,0.022945193904321037,0.14555829533108078,0.04715457608576923,0.005339941319293828,0.09329073141368749,0.018985763100995534,0.2568459892068171,0.10993186670872923,0.00812552855613724,0.016850664251324865,0.0062360230397375815,0.028042849791985347,0.12149593223242228,0.03483432403536568,0.003372927358157085,0.08879004048210781,0.03171617493701362,0.2556744403980833,0.09735832863576821,0.008586985137781333,0.008359975597392655,0.10527828505131609,0.13936966344683377,0.10985684880061886,0.20683826135937622,0.40556357368781626,0.001156808933735043,0.4600321567430665,0.023127032786835144,0.0013508340677583774,0.15866102439701812,0.022781844097597315,0.16026297429547398,0.0058864935632136905
YearRemodAdd,0.0,0.288290611073009,0.17318017016344722,0.013032517722357362,0.621012224278668,0.28252485640643155,0.11988522822427505,2.3198567163057624,3.7162472012044776,0.10560125863618453,0.24265005988993416,0.0,0.2523672400052819,0.05406209327695777,0.06658174692903884,0.1994682151218683,0.0849352272919699,0.04797813280960295,0.045202854629606826,0.12917439847374412,0.17108389563016946,0.22552427682129128,0.048520515827059185,0.08241895329354154,0.13990986986814002,0.1415163517076108,0.0,0.1866403492657307,0.018734946677959385,0.004744648332901669,0.1274030993650621,0.026965108264140447,0.023728064295215567,0.010988834335878828,0.30387628971453573,0.040690740595859864,0.0,0.04759927117720153,0.12823849841101342,2.0861506871988427,0.14365731201349075,0.1498193359262725,0.20917351828343822,0.02292233888012607,0.017204110809281303,0.011631237385528514,0.06270671597814115,0.09856651555209872,0.0641239795933064,0.0,0.0007346027829182589,0.0017755112451300903,0.0017447979384526136,0.04146805922914343,0.006231150589911749,0.025812208468508402,0.08097589389745874,0.11624445942701023,0.1450976921670577,0.05137626692225261,0.0,0.015178503317022418,0.011100301946455282,0.003520092860117785,0.006114436696659453,0.002196571584290652,0.051239959321548234,0.0025754978341137047,0.03868949243624176,0.05109811520702845,0.002361799448387991,0.012483897098155339,0.0036691789472547143,0.02795460665359517,0.018344256783533908,0.007894623389720579,0.010321624052703093,0.007460530999344073,0.03518372287772831,0.004405238334308947,0.03264685709884496,0.03676282403134756,0.026796607089697666,0.06882574871219127,0.0053609353327424,0.031190363807768406,0.0029037733425436585,0.0028891728921696114,0.054211665042783075,0.0073740251463076945,0.01514586431992182,0.038854199820494095,0.030646128221023083,0.002277315470585961,0.006977289470355252,0.01833211767077092,0.03216455773874216,0.07378239975250978,0.01568649272731193,0.0,0.06719018665117904,0.00768038861812137,0.16021477956677366,0.02808742799964392,0.0,0.013783694512857103,0.009164379636477094,0.04524618630622168,0.08895137621192895,0.01675879674581182,0.006830513625340373,0.08151877498210869,0.0027426830099148702,0.17252895438328686,0.04323642129089311,0.0020968282924851422,0.002134321484662749,0.04620445881968838,0.07625348929275333,0.07369833372275547,0.06925939053242658,0.19371628222184611,0.0,0.20985542411108593,0.012711661538348018,0.00029217413201809705,0.07986021211144934,0.01933514656405322,0.08328224146565866,0.011022546814648315
MasVnrArea,0.0,0.10280976848059131,0.1194502457147939,0.019538312794129986,0.22019963918314334,0.12475213002137586,0.02500835874950713,0.19604093741455086,0.1092673433022906,2.6589235795935977,0.10265617939982974,0.0,0.06219024522493832,0.017274492158925625,0.004284718137068211,0.04559939961281412,0.07059772421827848,0.004349538248915152,0.010623582585519209,0.041209090518487645,0.13520379857799814,0.0,0.016899636355733882,0.0,0.12541951453460953,0.04557173831931394,0.011972414460702296,0.1333999340784353,0.02307814204365055,0.006042912281860602,0.018292878201700447,0.0,0.043088603401130854,0.0049465475013157345,0.060417141877262104,0.09231679931142844,0.0,0.055503008340357596,0.05105252752154943,0.1291378704989481,0.04798193882670709,0.11597882726497488,0.1580105198086592,0.04446546255617001,0.014114814030597778,0.010237021736477558,0.07923281632842505,0.0741534201938725,0.04523286821374661,0.0,0.0,0.0,0.0,0.023290660038357558,0.0,0.0,0.006218454675606111,0.05396044686948365,0.06369869705380182,0.03109083327387907,0.0,0.012421607888381203,0.0,0.01215846240220575,0.02482343752740057,0.02014410231959296,0.006783238587475537,0.013881737371251646,0.02168710765462567,0.03180730599446502,0.0,0.0,0.0,0.0,0.02503238906651184,0.010733357751520067,0.0,0.015000445736444767,0.0,0.0,0.0,0.021288073733460422,0.0,0.012196660763354572,0.009316849690240936,0.0,0.0,0.003076730915663184,0.000675248708728482,0.0,0.0,0.05576098930112128,0.05238373634624782,0.0,0.0,0.01546893930694715,0.0,0.010026016032086638,0.002311596681541239,0.0,0.0,0.032927694995560586,0.04213643112729315,0.02453581109847036,0.00931299042633249,0.008120192028074236,0.0,0.0,0.0,0.012680138983511391,0.0,0.025971545399015916,0.0,0.030797334203128024,0.02651672163407337,0.003496258047961831,0.0012557378867095181,0.4040941334760797,0.657098761254626,0.08568761925980439,0.024923030750825248,0.0,0.012301959189757738,0.027372778210583704,0.03061164755539636,0.0022600505733461063,0.03885684556554825,0.010418081229650156,0.018436760376276062,0.02361301883227629
